,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
0,1.85,10.12,002418,康盛股份,23795855.0,家电行业,10.12,5.71,7.66,4.95,55.16,3.0,117,158
1,6.44,10.09,002645,华宏科技,27800864.0,环保行业,5.92,3.21,8.42,5.47,51.48,5.0,89,128
2,7.94,9.97,000880,潍柴重机,9381753.0,通用设备,8.17,4.06,13.54,4.97,50.87,6.0,27,157
3,14.07,10.01,002888,惠威科技,54606725.0,消费电子,5.71,5.0,11.03,4.85,49.72,8.0,48,166
4,7.52,9.94,000521,长虹美菱,63862694.0,家电行业,3.72,-1.44,6.01,3.62,47.68,9.0,186,282
5,28.36,10.01,002813,路畅科技,47928113.0,汽车零部件,5.04,-5.81,7.58,2.4,44.09,10.0,122,482
6,8.08,20.06,300824,北鼎股份,24000577.0,家电行业,15.43,10.08,17.8,11.85,42.98,12.0,9,14
7,14.98,9.99,001387,雪祺电气,14644493.0,家电行业,11.54,7.77,5.82,1.92,42.64,13.0,197,596
8,3.77,9.91,000595,宝塔实业,6665880.0,通用设备,9.91,12.2,38.85,8.44,38.85,14.0,2,45
9,6.3,9.95,002035,华帝股份,59440485.0,家电行业,3.28,-2.02,10.63,4.8,38.4,15.0,50,169
10,5.04,20.0,300061,旗天科技,51022550.0,文化传媒,22.63,29.56,9.99,8.14,37.85,18.0,60,52
11,8.4,9.95,002668,TCL智家,64994223.0,家电行业,0.96,-7.69,2.32,-2.21,35.96,19.0,656,2815
12,48.48,20.0,301528,多浦乐,60477852.0,仪器仪表,18.5,21.41,25.99,17.62,34.31,20.0,3,7
13,21.54,20.0,301049,超越科技,32411238.0,环保行业,14.57,21.83,5.19,4.86,33.24,22.0,248,165
14,2.2,20.22,300287,飞利信,124000202.0,互联网服务,24.29,8.91,14.08,6.74,32.06,24.0,24,79
15,2.16,20.0,300159,新研股份,97678924.0,航天航空,19.34,10.2,18.64,10.46,30.67,28.0,7,21
16,3.83,10.06,002347,泰尔股份,46985282.0,通用设备,13.99,7.28,15.95,11.23,30.65,29.0,13,17
17,5.33,20.05,300281,金明精机,73528447.0,专用设备,33.58,26.9,13.07,10.41,30.49,30.0,30,23
18,28.29,9.99,000921,海信家电,126436309.0,家电行业,4.39,-3.68,7.02,3.18,30.24,31.0,140,342
19,1.64,5.13,000622,*ST恒立,2542079.0,汽车零部件,-2.96,-6.29,-8.56,-3.96,27.52,33.0,5023,3968
